Date,Open,High,Low,Close,Volume
2023-01-03,438.97677377195663,439.74353372919325,429.2962757492528,434.45281982421875,1978100
2023-01-04,438.19077037880766,440.42400892806864,433.7914220618253,437.5965270996094,2097300
2023-01-05,435.6603840282211,437.47186639892215,430.94472666240983,431.4910583496094,2169300
2023-01-06,443.8457011946875,464.29935813911453,443.02143581408495,462.813720703125,5174500
2023-01-09,462.8712118721467,466.64756399873187,458.28018839465886,458.8648376464844,2384800
2023-01-10,457.32171619947,462.0660974122773,455.73066179123174,461.4047546386719,1649900
2023-01-11,460.37927023943195,464.39523909459695,459.20994230367955,464.1939697265625,1576400
2023-01-12,464.84569562623443,464.8552896313865,458.8648864144872,462.39202880859375,1628200
2023-01-13,460.9159579020011,465.4207230177831,459.10444615170985,465.0948486328125,1405900
2023-01-17,464.979891230118,470.1076821955399,464.2514488443713,466.5517578125,1539900
2023-01-18,464.6731280778843,468.5069857162819,458.6443787515006,459.554931640625,1925500
2023-01-19,456.4591375180223,457.72431771516165,448.62849870318524,449.989501953125,1919500
2023-01-20,454.2355274069036,460.3696946093905,449.9703485063374,460.16839599609375,2588600
2023-01-23,460.0150949023973,474.6699975264441,457.7626972500692,472.14923095703125,2709400
2023-01-24,471.6124468624163,473.0980843916385,466.7818068287283,471.6699523925781,1510200
2023-01-25,469.0341735898795,471.50702837941293,464.37605016078174,470.4910583496094,1329800
2023-01-26,472.71475914392295,477.9575617504975,471.34413251641314,477.6029052734375,1576400
2023-01-27,479.00224150594283,487.95429668059563,477.18113550412653,482.3856201171875,2034100
2023-01-30,479.5868415646555,484.59962105734695,479.5868415646555,482.3759765625,1855900
2023-01-31,482.3281484801549,490.1683818441344,481.1492264987669,489.90960693359375,1924100
2023-02-01,487.19707977845655,498.8328526603477,483.75619578908737,496.3983154296875,2080200
2023-02-02,503.38807819393213,508.91845330658595,499.88362812281133,502.5623779296875,2287400
2023-02-03,498.43388183035273,500.757387434974,492.06819493263544,494.2764892578125,1844100
2023-02-06,493.93079681202323,496.5999359382701,491.84732472043754,495.03497314453125,1740100
2023-02-07,491.5785496568033,497.33934841107316,487.1619607192799,495.9375915527344,1927300
2023-02-08,490.9064148374084,491.760917979736,481.56431010271893,483.724609375,2062900
2023-02-09,485.1456099984851,488.86132000673507,478.5495010007782,480.67138671875,1517300
2023-02-10,478.6359371188713,480.5945874482371,475.6307159780241,480.0569152832031,1536800
2023-02-13,481.73709114231684,486.5857800618544,481.36265453282095,486.25933837890625,1452600
2023-02-14,484.8767577829979,487.6035318860916,478.75110478128113,483.1581115722656,1257300
2023-02-15,482.6876642803079,491.03122223262324,481.353065371734,490.89678955078125,1422600
2023-02-16,483.53259715050945,490.3687691627722,483.5230157445285,484.0030822753906,1456000
2023-02-17,484.166243079866,487.46910284651386,481.8331269909117,487.248291015625,1340400
2023-02-21,480.8538156314007,483.897420829961,476.7540289727321,481.73712158203125,1811800
2023-02-22,483.8302448478406,485.30882860354785,476.8020641017059,477.5605773925781,1332000
2023-02-23,478.91433808826787,478.9719437253249,468.4104805178368,473.4800109863281,1546300
2023-02-24,469.1016903508827,470.81072563505137,465.37639954227046,469.1304931640625,1587600
2023-02-27,472.91351018034186,473.34558176236493,466.3174009806467,467.61358642578125,1501700
2023-02-28,466.2405378283865,469.38977253949525,464.4930889341736,464.87713623046875,1918200
2023-03-01,461.920061085992,463.3410393854269,456.0824351664026,459.5869445800781,1759300
2023-03-02,458.3291016012493,467.99764850852324,456.60087382062164,466.3270263671875,2379200
2023-03-03,455.89992572954037,457.02329419802584,446.77866250499994,456.31280517578125,5354200
2023-03-06,457.52254457178293,469.3321974834459,456.5624116180347,463.8210144042969,3104700
2023-03-07,466.72060965722335,475.4674063325235,465.66445760453206,465.8084716796875,2659100
2023-03-08,463.7442125445929,467.4695330602225,461.9583793309184,466.66302490234375,1548500
2023-03-09,468.0456647113367,470.46518942288924,459.5388707436529,460.4029846191406,1629400
2023-03-10,459.8845255602069,461.3055036805838,449.70710966384763,452.3570861816406,2123000
2023-03-13,448.19006652359343,457.6857958276148,448.19006652359343,453.1827697753906,1799600
2023-03-14,456.47602284513755,465.818127436144,454.14290669918194,462.7073059082031,2422900
2023-03-15,462.31367150009925,467.60398464913186,459.46207518671963,466.2982177734375,2226300
2023-03-16,465.5972853385193,468.6793333432197,463.5138131518954,467.83441162109375,1979600
2023-03-17,469.5722388174493,470.3691362903889,462.3136359060466,467.63275146484375,3959300
2023-03-20,468.5449284618558,471.2237078759714,466.35582627960423,469.78350830078125,1623800
2023-03-21,473.34559122188,473.34559122188,466.61504919960635,471.28131103515625,1664000
2023-03-22,469.94670583709836,476.82126186523635,467.9208392031708,468.08404541015625,1299700
2023-03-23,471.1276663134871,473.585604460887,464.9828209449873,468.3144836425781,1565900
2023-03-24,467.5271300210791,476.19712918362785,467.1622748205111,475.5250244140625,1635200
2023-03-27,477.4549307976223,479.93206101267964,472.8751069961046,473.5567932128906,1452100
2023-03-28,472.97106434642694,474.36326880282957,466.05812489290554,467.3638916015625,1407800
2023-03-29,469.6971008033286,471.7133567719715,466.5286441508668,471.3005065917969,1643000
